"sep=,"
Folder Name,Quantity,Trade Quantity,Card Name,Set Code,Set Name,Card Number,Rarity,Condition,Printing,Language,Price Bought,Date Bought,LOW,MID,MARKET
all,1,0,Amulet Dragon,DRL3,Dragons of Legend: Unleashed,DRL3-EN043,UR,NearMint,1st Edition,English,1.09,2023-04-29,0.40,1.27,1.66
all,1,0,Ancient Fairy Dragon,CT06,Collectible Tin 2009,CT06-EN002,ScR,NearMint,Limited,English,7.44,2022-03-05,3.50,6.16,6.12
all,1,0,Ancient Fairy Dragon,CT06,Collectible Tin 2009,CT06-EN002,ScR,NearMint,Limited,English,5.70,2022-01-08,3.50,6.16,6.12
all,1,0,Ancient Gear Dragon,BLTR,Battles Of Legend: Terminal Revenge,BLTR-EN048,ScR,NearMint,1st Edition,English,0.39,2024-12-02,0.34,0.69,0.69
all,1,0,Ancient Gear Gadjiltron Dragon,SD10,Structure Deck: Machine Re-Volt,SD10-EN001,UR,NearMint,Unlimited,English,1.01,2023-04-30,1.23,5.22,1.77
all,1,0,Ancient Gear Gadjiltron Dragon,SD10,Structure Deck: Machine Re-Volt,SD10-EN001,UR,NearMint,Unlimited,English,0.46,2022-01-08,1.23,5.22,1.77
all,1,0,Ancient Gear Reactor Dragon,SR03,Machine Reactor Structure Deck,SR03-EN001,UR,NearMint,1st Edition,English,1.43,2023-04-30,0.98,1.61,1.79
all,1,0,Ancient Gear Reactor Dragon,SR03,Machine Reactor Structure Deck,SR03-EN001,UR,NearMint,1st Edition,English,1.42,2023-04-26,0.98,1.61,1.79
all,1,0,Ancient Pixie Dragon,PGLD,Premium Gold,PGLD-EN006,GScR,NearMint,1st Edition,English,5.74,2022-01-08,3.55,5.00,3.94
all,1,0,Anotherverse Dragon,YCSW,Yu-Gi-Oh! Championship Series,YCSW-EN013,UR,NearMint,Limited,English,0.00,2024-07-18,,,
all,1,0,Arc Rebellion Xyz Dragon,PHRA,Phantom Rage,PHRA-EN041,ScR,NearMint,1st Edition,English,4.04,2022-03-05,2.50,8.15,4.95
all,1,0,Arcanite Magician,PGL3,Premium Gold: Infinite Gold,PGL3-EN060,GUR,NearMint,1st Edition,English,0.57,2022-03-07,1.49,2.59,2.40
all,2,0,Archfiend Black Skull Dragon,CORE,Clash of Rebellions,CORE-EN048,UR,NearMint,1st Edition,English,10.10,2022-01-08,9.44,14.22,14.22
all,1,0,Archfiend Commander,CT11,2014 Mega-Tins,CT11-EN006,SR,NearMint,Limited,English,0.30,2023-01-25,0.20,0.43,0.33
all,1,0,"Archfiend Emperor, the First Lord of Horror",JOTL,Judgment of the Light,JOTL-ENDE1,UR,NearMint,Limited,English,0.36,2022-01-08,,,
all,1,0,Archfiend Empress,LDS3,Legendary Duelists: Season 3,LDS3-EN007,UR,NearMint,1st Edition,English,0.24,2023-01-25,0.09,0.31,0.23
all,1,0,"Archfiend's Ascent",FIGA,Fists of the Gadgets,FIGA-EN033,ScR,NearMint,1st Edition,English,0.52,2022-01-08,0.45,1.29,1.09
all,1,0,"Archfiend's Awakening",FIGA,Fists of the Gadgets,FIGA-EN031,ScR,NearMint,1st Edition,English,0.83,2022-01-08,1.50,2.22,1.67
all,1,0,"Archfiend's Call",FIGA,Fists of the Gadgets,FIGA-EN032,ScR,NearMint,1st Edition,English,0.47,2022-01-08,0.42,1.31,1.11
all,1,0,"Archfiend's Manifestation",FIGA,Fists of the Gadgets,FIGA-EN034,ScR,NearMint,1st Edition,English,0.77,2022-01-08,0.79,1.41,1.41
all,1,0,Archnemeses Eschatos,ETCO,Eternity Code,ETCO-EN009,UR,NearMint,1st Edition,English,6.53,2022-03-05,2.24,3.27,3.08
all,1,0,Archnemeses Eschatos,ETCO,Eternity Code,ETCO-EN009,UR,NearMint,1st Edition,English,4.85,2022-03-22,2.24,3.27,3.08
all,1,0,Arkbrave Dragon,GFTP,Ghosts From The Past,GFTP-EN072,UR,NearMint,1st Edition,English,0.21,2022-01-08,0.15,0.34,0.34
all,1,0,Armed Dragon LV10,GFTP,Ghosts From The Past,GFTP-EN075,UR,NearMint,1st Edition,English,1.13,2022-01-08,0.30,0.97,0.61
all,2,0,Armed Dragon LV10 White,BLVO,Blazing Vortex,BLVO-EN005,UR,NearMint,1st Edition,English,1.04,2022-01-08,0.15,0.74,0.63
all,1,0,Armed Dragon LV3,MZMU,Maze Of Muertos,MZMU-EN063,ScR,NearMint,1st Edition,English,0.79,2026-03-13,0.73,1.09,1.00
all,1,0,Armed Dragon LV5,SOD,Soul of the Duelist,SOD-EN014,UtR,NearMint,1st Edition,English,79.21,2023-10-21,40.44,47.49,65.74
all,1,0,Armed Dragon LV7,SOD,Soul of the Duelist,SOD-EN015,UR,NearMint,Unlimited,English,9.43,2022-01-08,5.75,6.89,7.50
all,1,0,Armed Dragon Thunder LV10,BLVO,Blazing Vortex,BLVO-EN001,ScR,NearMint,1st Edition,English,3.24,2022-01-08,0.49,2.20,2.09
all,1,0,Armed Dragon Thunder LV7,BLVO,Blazing Vortex,BLVO-EN002,UR,NearMint,1st Edition,English,2.47,2022-09-22,0.35,1.00,0.77
all,1,0,Armed Dragon Thunder LV7,MP22,"2022 Tin Of The Pharaoh's Gods",MP22-EN002,PScR,NearMint,1st Edition,English,0.27,2023-09-21,0.19,0.53,0.50
all,1,0,"Armed Dragon, the Armored Dragon",HAC1,Hidden Arsenal Chapter 1,HAC1-EN173,ScR,NearMint,Limited,English,2.41,2022-03-22,0.25,0.75,0.72
all,1,0,"Armillyre, the Starleader Dragon",DUOV,Duel Overload,DUOV-EN029,UR,NearMint,1st Edition,English,0.25,2022-01-24,0.15,0.85,0.82
all,1,0,Armityle the Chaos Phantasm,SDSA,Structure Deck: Sacred Beasts,SDSA-EN045,UR,NearMint,1st Edition,English,0.78,2022-01-08,0.50,1.52,1.49
all,1,0,Armityle the Chaos Phantasm - Phantom of Fury,PHRA,Phantom Rage,PHRA-EN035,UR,NearMint,1st Edition,English,0.67,2022-01-08,2.50,4.00,3.58
all,1,0,"Artemis, the Magistus Moon Maiden",BLCR,Battles Of Legend: Crystal Revenge,BLCR-EN095,ScR,NearMint,1st Edition,English,0.77,2023-01-25,0.25,0.50,0.43
all,1,0,Artmage Graflare,DUAD,"Duelist's Advance",DUAD-EN010,UR,NearMint,1st Edition,English,0.91,2026-01-19,0.40,1.30,0.94
all,1,0,Ascension Sky Dragon,LEHD,Legendary Hero Decks,LEHD-ENB34,UR,NearMint,1st Edition,English,0.48,2022-01-08,0.09,0.46,0.38
all,1,0,Assault Wyvern,MVP1S,The Dark Side of Dimensions Movie Pack: Secret Edition,MVP1-ENS03,ScR,NearMint,1st Edition,English,0.44,2022-01-08,0.25,0.50,0.42
all,1,0,Atlantean Dragoons,RA03,Quarter Century Bonanza,RA03-EN006,PlScR,NearMint,1st Edition,English,1.29,2024-12-02,0.65,1.49,0.75
all,1,0,Atomic Scrap Dragon,STOR,Storm Of Ragnarok,STOR-EN043,UtR,NearMint,Unlimited,English,3.53,2023-04-30,2.23,4.00,2.36
all,1,0,Atomic Scrap Dragon,STOR,Storm Of Ragnarok,STOR-EN043,UtR,NearMint,Unlimited,English,4.90,2022-01-08,2.23,4.00,2.36
all,1,0,A-to-Z-Dragon Buster Cannon,SDKS,Structure Deck: Seto Kaiba,SDKS-EN040,UR,NearMint,1st Edition,English,0.61,2023-04-30,0.60,0.96,0.87
all,1,0,A-to-Z-Dragon Buster Cannon,SDKS,Structure Deck: Seto Kaiba,SDKS-EN040,UR,NearMint,1st Edition,English,0.57,2022-01-08,0.60,0.96,0.87
all,1,0,Awakening of the Possessed - Rasenryu,DLCS,Dragons Of Legend: The Complete Series,DLCS-EN144,ScR,NearMint,Limited,English,1.19,2022-01-24,0.20,0.61,0.37
all,1,0,Azure-Eyes Silver Dragon,SDBE,Saga Of Blue-Eyes White Dragon Structure Deck,SDBE-EN040,UR,NearMint,1st Edition,English,1.04,2022-01-08,0.13,0.50,0.40
all,1,0,Baby Mudragon,MP22,"2022 Tin Of The Pharaoh's Gods",MP22-EN172,UR,NearMint,1st Edition,English,0.14,2023-01-25,0.01,0.25,0.16
all,1,0,"Bahalutiya, the Grand Radiance",LIOV,Lightning Overdrive,LIOV-EN023,ScR,NearMint,1st Edition,English,1.45,2022-01-08,0.30,0.99,0.58
all,1,0,"Bahalutiya, the Grand Radiance",LIOV,Lightning Overdrive,LIOV-EN023,StR,NearMint,1st Edition,English,54.11,2023-10-21,10.67,12.45,11.86
all,1,0,Barrel Dragon,HAC1,Hidden Arsenal Chapter 1,HAC1-EN006,DUPR,NearMint,1st Edition,English,0.23,2023-04-30,0.13,0.40,0.31
all,1,0,Barrel Dragon,HAC1,Hidden Arsenal Chapter 1,HAC1-EN006,DUPR,NearMint,1st Edition,English,0.29,2022-03-22,0.13,0.40,0.31
all,1,0,Beast-Eyes Pendulum Dragon,JUMP,Shonen Jump Magazine,JUMP-EN074,UR,NearMint,Limited,English,2.92,2022-01-08,1.93,2.75,2.90
all,1,0,Beelze of the Diabolic Dragons,LCKC,Legendary Collection Kaiba Mega Pack,LCKC-EN071,ScR,NearMint,Unlimited,English,4.42,2022-01-08,0.59,1.35,1.29
all,1,0,Beelzeus of the Diabolic Dragons,YF08,"5D's volume 8 Promotional Card",YF08-EN001,UR,NearMint,Limited,English,11.01,2022-07-17,9.99,16.76,10.90
all,1,0,Berserk Dragon,DCR,Dark Crisis,DCR-019,SR,NearMint,Unlimited,English,1.88,2022-01-08,1.59,2.73,2.87
all,1,0,Black Dragon Collapserpent,BLHR,"Battles of Legend: Hero's Revenge",BLHR-EN077,UR,NearMint,1st Edition,English,0.73,2022-01-08,0.10,0.62,0.60
all,1,0,Black Luster Soldier - Envoy of the Beginning,RA03,Quarter Century Bonanza,RA03-EN132,PlScR,NearMint,1st Edition,English,8.52,2025-03-24,10.00,12.00,10.87
all,1,0,Black Metal Dragon,RA04,Quarter Century Stampede,RA04-EN016,UtR,NearMint,1st Edition,English,0.95,2026-04-23,0.50,1.03,0.94
all,1,0,Black Rose Dragon,TN23,25Th Anniversary Tin: Dueling Heroes,TN23-EN014,QCScR,NearMint,Limited,English,6.66,2023-09-26,3.75,8.72,6.73
all,3,0,Black Rose Dragon,LDS2,Legendary Duelists: Season 2,LDS2-EN110,UR,NearMint,1st Edition,English,0.73,2022-01-08,0.41,0.92,0.85
all,1,0,Black Rose Dragon,CSOC,Crossroads of Chaos,CSOC-EN039,UR,NearMint,Unlimited,English,7.73,2022-01-08,11.51,14.18,9.27
all,1,0,Black Rose Moonlight Dragon,LDS2,Legendary Duelists: Season 2,LDS2-EN112,UR,NearMint,1st Edition,English,3.37,2022-01-08,1.00,3.85,3.42
all,1,0,Black Skull Dragon,BPT,Booster Pack Tin,BPT-006,ScR,NearMint,Limited,English,61.94,2023-01-25,78.00,83.81,99.12
all,1,0,Black Skull Dragon,MRD,Metal Raiders,MRD-018,UR,Played,1st Edition,English,295.00,2022-01-08,299.99,359.99,419.01
all,1,0,Black Skull Dragon,DLG1,Dark Legends,DLG1-EN029,R,NearMint,Unlimited,English,3.09,2022-01-08,3.85,5.99,4.46
all,1,0,Blackfeather Darkrage Dragon,PGLD,Premium Gold,PGLD-EN017,GScR,NearMint,1st Edition,English,1.77,2022-01-08,0.75,2.29,2.30
all,1,0,Black-Winged Assault Dragon,DABL,Darkwing Blast,DABL-EN042,UR,NearMint,1st Edition,English,1.25,2023-01-25,0.43,1.01,1.00
all,1,0,Black-Winged Dragon,DABL,Darkwing Blast,DABL-EN100,StR,NearMint,1st Edition,English,87.54,2023-10-21,14.96,25.99,19.16
all,1,0,Black-Winged Dragon,LC5D,"Legendary Collection 5D's Mega Pack",LC5D-EN135,C,NearMint,1st Edition,English,0.36,2022-01-24,0.27,0.58,0.43
all,1,0,Black-Winged Dragon,DP11,Duelist Pack: Crow,DP11-EN016,SR,NearMint,1st Edition,English,1.41,2022-01-08,0.65,1.09,1.08
all,1,0,"Blaster, Dragon Ruler of Infernos",RA03,Quarter Century Bonanza,RA03-EN010,PlScR,NearMint,1st Edition,English,3.69,2025-03-17,2.25,3.41,2.43
all,1,0,"Blaster, Dragon Ruler of Infernos",CT10,Collectible Tin 2013,CT10-EN002,ScR,NearMint,Limited,English,4.42,2022-01-08,0.45,1.43,1.30
all,1,0,"Blaze, Supreme Ruler of all Dragons",BLTR,Battles Of Legend: Terminal Revenge,BLTR-EN045,ScR,NearMint,1st Edition,English,5.71,2024-12-02,0.50,1.25,1.13
all,1,0,Blowback Dragon,RA03,Quarter Century Bonanza,RA03-EN138,QCScR,NearMint,1st Edition,English,2.49,2025-03-10,4.26,8.55,4.49
all,1,0,Blowback Dragon,MC2,Master Collection Volume 2,MC2-EN005,ScR,NearMint,Limited,English,7.23,2023-09-14,4.27,8.99,7.09
all,1,0,Blue Rose Dragon,LC5D,"Legendary Collection 5D's Mega Pack",LC5D-EN093,SR,NearMint,1st Edition,English,0.85,2022-01-24,0.21,0.64,0.40
all,1,0,Blue Rose Dragon,LDS2,Legendary Duelists: Season 2,LDS2-EN104,UR,NearMint,1st Edition,English,0.50,2022-01-08,0.24,0.78,0.78
all,1,0,Blue-Eyes Abyss Dragon,MAMA,Magnificent Mavens,MAMA-EN056,UR,NearMint,1st Edition,English,0.86,2023-01-25,0.09,0.41,0.34
all,1,0,Blue-Eyes Alternative Ultimate Dragon,TN19,2019 Gold Sarcophagus Tin,TN19-EN001,PScR,NearMint,Limited,English,6.79,2022-01-08,10.37,11.67,10.81
all,1,0,Blue-Eyes Alternative White Dragon,LDS2,Legendary Duelists: Season 2,LDS2-EN008,UR,NearMint,1st Edition,English,13.04,2023-01-25,0.60,1.99,1.72
all,1,0,Blue-Eyes Chaos Dragon,LDS2,Legendary Duelists: Season 2,LDS2-EN017,ScR,NearMint,1st Edition,English,8.25,2022-01-08,4.80,8.56,8.56
all,1,0,Blue-Eyes Chaos Dragon,LED3,Legendary Duelists: White Dragon Abyss,LED3-EN001,UR,NearMint,1st Edition,English,9.28,2022-01-07,4.00,7.25,6.46
all,2,0,Blue-Eyes Chaos MAX Dragon,MVP1,The Dark Side of Dimensions Movie Pack,MVP1-EN004,UR,NearMint,Unlimited,English,1.84,2022-01-08,0.45,1.75,0.84
all,1,0,Blue-Eyes Jet Dragon,BACH,Battle Of Chaos,BACH-EN004,ScR,NearMint,1st Edition,English,17.81,2022-03-07,1.66,5.03,4.44
all,1,0,Blue-Eyes Shining Dragon,LCKC,Legendary Collection Kaiba Mega Pack,LCKC-EN008,ScR,NearMint,Unlimited,English,5.20,2022-01-08,6.00,8.99,7.28
all,1,0,Blue-Eyes Solid Dragon,LDS2,Legendary Duelists: Season 2,LDS2-EN014,UR,NearMint,1st Edition,English,1.77,2022-01-08,2.80,3.74,3.33
all,2,0,Blue-Eyes Spirit Dragon,CT13,2016 Mega-Tins,CT13-EN009,UR,NearMint,Limited,English,3.09,2022-01-08,0.47,1.41,1.07
all,1,0,Blue-Eyes Toon Dragon,SRL_25,Spell Ruler (25Th Anniversary Edition),SRL-EN000,ScR,NearMint,Unlimited,English,19.53,2023-09-21,28.72,34.21,29.53
all,1,0,Blue-Eyes Toon Dragon,SDP,Starter Deck Pegasus,SDP-020,C,NearMint,1st Edition,English,2.03,2022-01-08,0.94,13.54,3.14
all,2,0,Blue-Eyes Twin Burst Dragon,MP17,2017 Mega-Tins Mega Pack,MP17-EN056,ScR,NearMint,1st Edition,English,5.34,2022-01-08,2.40,3.93,3.85
all,1,0,Blue-Eyes Tyrant Dragon,BACH,Battle Of Chaos,BACH-EN037,UR,NearMint,1st Edition,English,5.40,2022-03-07,0.19,1.08,0.48
all,1,0,Blue-Eyes Ultimate Dragon,JUMP,Shonen Jump Magazine,JMP-EN005,ScR,NearMint,Limited,English,16.65,2023-01-25,13.11,28.23,36.22
all,3,0,Blue-Eyes Ultimate Dragon,LDK2,Legendary Decks II,LDK2-ENK40,UR,NearMint,1st Edition,English,1.24,2022-01-08,1.00,1.70,1.70
all,1,0,Blue-Eyes Ultimate Spirit Dragon,SDWD,Structure Deck: Blue-Eyes White Destiny,SDWD-EN043,ScR,NearMint,1st Edition,English,1.10,2025-03-24,0.50,1.25,1.04
all,1,0,Blue-Eyes White Dragon,MP24,25Th Anniversary Tin: Dueling Mirrors,MP24-EN001,QCScR,NearMint,1st Edition,English,23.69,2024-11-03,35.19,41.40,39.82
all,1,0,Blue-Eyes White Dragon,LC01_25,Legendary Collection: 25Th Anniversary Edition,LC01-EN004,QCScR,NearMint,Limited,English,14.93,2023-09-21,11.56,16.14,14.18
all,1,0,Blue-Eyes White Dragon,MP22,"2022 Tin Of The Pharaoh's Gods",MP22-EN266,PScR,NearMint,1st Edition,English,9.18,2023-05-06,5.00,9.92,8.85
all,1,0,Blue-Eyes White Dragon,SDK,Starter Deck Kaiba,SDK-001,UR,NearMint,Unlimited,English,30.50,2023-01-25,30.00,62.73,69.80
all,1,0,Blue-Eyes White Dragon,KACB,"Kaiba's Collector Box",KACB-EN001,UR,NearMint,Limited,English,1.23,2023-01-25,1.95,2.50,2.15
all,1,0,Blue-Eyes White Dragon,BPT,Booster Pack Tin,BPT-009,ScR,NearMint,Limited,English,34.34,2023-01-25,23.40,30.00,33.72
all,1,0,Blue-Eyes White Dragon,MVP1,The Dark Side of Dimensions Movie Pack,MVP1-EN055,UR,NearMint,Unlimited,English,1.95,2022-03-05,2.33,3.25,2.90
all,1,0,Blue-Eyes White Dragon,MVP1,The Dark Side of Dimensions Movie Pack,MVP1-EN055,UR,NearMint,1st Edition,English,2.27,2022-03-05,2.00,4.99,4.01
all,1,0,Blue-Eyes White Dragon,MGED,Maximum Gold: El Dorado,MGED-EN001,PGR,NearMint,1st Edition,English,3.54,2022-01-24,2.01,4.99,4.45
all,1,0,Blue-Eyes White Dragon,MAGO,Maximum Gold,MAGO-EN001,PGR,NearMint,1st Edition,English,21.63,2022-01-24,23.45,33.23,29.66
all,1,0,Blue-Eyes White Dragon,SDBE,Saga Of Blue-Eyes White Dragon Structure Deck,SDBE-EN001,UR,NearMint,Unlimited,English,0.90,2022-01-08,0.25,0.71,0.71
all,2,0,Blue-Eyes White Dragon,SDBE,Saga Of Blue-Eyes White Dragon Structure Deck,SDBE-EN001,UR,NearMint,1st Edition,English,1.45,2022-01-08,0.65,1.50,1.51
all,2,0,Blue-Eyes White Dragon,LC01,Legendary Collection,LC01-EN004,UR,NearMint,Limited,English,1.22,2022-01-08,0.50,1.85,1.76
all,3,0,Blue-Eyes White Dragon,CT14,2017 Mega-Tins,CT14-EN002,ScR,NearMint,Limited,English,3.21,2022-01-08,3.50,5.45,5.21
all,1,0,Blue-Eyes White Dragon,SKE,Starter Deck Kaiba Evolution,SKE-001,SR,NearMint,Unlimited,English,2.01,2022-01-08,0.60,2.60,2.60
all,1,0,Blue-Eyes White Dragon,SDK,Starter Deck Kaiba,SDK-001,UR,Poor,Unlimited,English,32.64,2022-01-08,30.00,62.73,69.80
all,1,0,Booster Dragon,DUPO,Duel Power,DUPO-EN025,UR,NearMint,1st Edition,English,0.20,2022-01-08,0.05,0.35,0.20
all,1,0,Borrelcode Dragon,BODE,Burst Of Destiny,BODE-EN050,UR,NearMint,1st Edition,English,1.21,2022-01-24,0.19,0.52,0.49
all,1,0,Borrelend Dragon,GFP2,Ghosts From The Past: The 2Nd Haunting,GFP2-EN006,UR,NearMint,1st Edition,English,1.95,2022-07-17,0.09,0.35,0.33
all,2,0,Borrelguard Dragon,BLRR,Battles of Legend: Relentless Revenge,BLRR-EN044,ScR,NearMint,1st Edition,English,4.07,2023-09-21,0.99,2.13,1.61
all,1,0,Borreload Dragon,MP24,25Th Anniversary Tin: Dueling Mirrors,MP24-EN048,QCScR,NearMint,1st Edition,English,0.34,2025-03-17,0.30,0.99,0.70
all,1,0,Borreload Dragon,CIBR,Circuit Break,CIBR-EN042,ScR,NearMint,Unlimited,English,3.17,2023-09-21,1.71,2.86,1.55
all,1,0,Borreload eXcharge Dragon,RIRA,Rising Rampage,RIRA-EN039,UR,NearMint,1st Edition,English,0.63,2022-01-08,0.12,0.50,0.41
all,1,0,Borreload eXcharge Dragon,RIRA,Rising Rampage,RIRA-EN039,UR,NearMint,Unlimited,English,0.78,2022-01-24,0.10,0.49,0.28
all,1,0,Borreload eXcharge Dragon,RIRA,Rising Rampage,RIRA-EN039,UR,NearMint,1st Edition,English,0.73,2023-04-30,0.12,0.50,0.41
all,2,0,Borreload Furious Dragon,SDRR,Structure Deck: Rokket Revolt,SDRR-EN042,UR,NearMint,1st Edition,English,0.43,2022-01-24,0.63,2.68,1.57
all,1,0,Borreload Furious Dragon,SDRR,Structure Deck: Rokket Revolt,SDRR-EN042,UR,NearMint,1st Edition,English,0.52,2023-04-30,0.63,2.68,1.57
all,1,0,Borreload Riot Dragon,BODE,Burst Of Destiny,BODE-EN036,UR,NearMint,1st Edition,English,0.71,2022-01-08,0.40,0.84,0.59
all,1,0,Borreload Riot Dragon,BODE,Burst Of Destiny,BODE-EN036,UR,NearMint,1st Edition,English,0.80,2022-01-24,0.40,0.84,0.59
all,1,0,Borreload Riot Dragon,BODE,Burst Of Destiny,BODE-EN036,UR,NearMint,1st Edition,English,0.38,2023-04-30,0.40,0.84,0.59
all,1,0,Borreload Savage Dragon,BLCR,Battles Of Legend: Crystal Revenge,BLCR-EN083,ScR,NearMint,1st Edition,English,6.97,2023-10-21,0.35,1.57,2.04
all,1,0,Borrelshroud Dragon,BPRO,Burst Protocol,BPRO-EN047,UR,NearMint,1st Edition,English,0.64,2026-04-23,0.20,0.87,0.95
all,1,0,Borrelsword Dragon,MAGO,Maximum Gold,MAGO-EN039,PGR,NearMint,1st Edition,English,5.45,2022-01-24,0.19,0.61,0.53
all,1,0,Bramble Rose Dragon,DOOD,Doom Of Dimensions,DOOD-EN039,ScR,NearMint,1st Edition,English,6.38,2026-03-26,6.98,13.15,8.05
all,2,0,Brave-Eyes Pendulum Dragon,RATE,Raging Tempest,RATE-EN039,ScR,NearMint,1st Edition,English,3.57,2022-01-08,13.29,18.02,18.38
all,1,0,Brigrand the Glory Dragon,PHRA,Phantom Rage,PHRA-EN031,UR,NearMint,1st Edition,English,0.85,2022-01-08,0.15,0.78,0.46
all,1,0,"Brionac, Dragon of the Ice Barrier",DUSA,Duelist Saga,DUSA-EN073,UR,NearMint,1st Edition,English,1.26,2022-01-08,2.50,4.79,2.29
all,1,0,"Brionac, the Magical Ice Dragon",BLTR,Battles Of Legend: Terminal Revenge,BLTR-EN004,ScR,NearMint,1st Edition,English,1.15,2025-03-10,0.92,2.16,1.36
all,1,0,"Burner, Dragon Ruler of Sparks",RA03,Quarter Century Bonanza,RA03-EN256,PlScR,NearMint,1st Edition,English,2.50,2025-03-10,0.44,0.99,0.61
all,1,0,Burning Dragon,AGOV,Age Of Overlord,AGOV-EN094,SR,NearMint,1st Edition,English,0.19,2024-12-02,0.05,0.25,0.19
all,1,0,Buster Dragon,BOSH,Breakers of Shadow,BOSH-EN052,UR,NearMint,Unlimited,English,1.60,2022-01-24,1.92,2.90,2.62
all,1,0,Buster Dragon,GFTP,Ghosts From The Past,GFTP-EN097,UR,NearMint,1st Edition,English,0.91,2022-01-08,1.55,3.09,2.42
all,1,0,Buster Whelp of the Destruction Swordsman,MP25,2025 Mega-Pack Tin,MP25-EN280,UR,NearMint,1st Edition,English,0.32,2026-04-23,0.15,0.34,0.27
all,1,0,Buster Whelp of the Destruction Swordsman,MP25,2025 Mega-Pack Tin,MP25-EN280,UR,NearMint,1st Edition,English,0.27,2026-01-19,0.15,0.34,0.27
all,1,0,Bystial Baldrake,PHHY,Photon Hypernova,PHHY-EN004,C,NearMint,1st Edition,English,0.18,2023-09-27,0.15,0.40,0.25
all,1,0,Bystial Baldrake,BLMR,Battles Of Legend: Monstrous Revenge,BLMR-EN069,UR,NearMint,1st Edition,English,0.80,2023-09-27,0.70,1.78,1.27
all,1,0,Bystial Dis Pater,CYAC,Cyberstorm Access,CYAC-EN041,UR,NearMint,1st Edition,English,10.97,2023-05-18,0.94,7.35,2.95
all,1,0,Bystial Dis Pater,CYAC,Cyberstorm Access,CYAC-EN041,UR,NearMint,1st Edition,English,16.82,2023-09-08,0.94,7.35,2.95
